structure.c.,Dates_x
48.56017721,2018/8/16 21:16
48.55480889,2018/8/16 21:20
48.55482146,2018/8/16 21:22
48.54924553,2018/8/16 21:23
48.54651446,2018/8/16 21:25
48.55007928,2018/8/16 21:26
48.54894408,2018/8/16 21:30
48.54323202,2018/8/16 21:32
48.53937238,2018/8/16 21:33
48.53785333,2018/8/16 21:34
48.53852308,2018/8/16 21:35
48.53630718,2018/8/16 21:36
48.53596118,2018/8/16 21:37
48.53646196,2018/8/16 21:38
48.52913889,2018/8/16 21:39
48.52754144,2018/8/16 21:40
48.52468288,2018/8/16 21:43
48.52133008,2018/8/16 21:44
48.51748727,2018/8/16 21:46
48.51442899,2018/8/16 21:53
48.50801613,2018/8/16 21:54
48.51448343,2018/8/16 21:55
48.49732341,2018/8/16 21:56
48.49547313,2018/8/16 21:59
48.49624523,2018/8/16 22:02
48.49088492,2018/8/16 22:03
48.50407948,2018/8/16 22:04
48.50637463,2018/8/16 22:05
48.50532708,2018/8/16 22:08
48.49214328,2018/8/16 22:13
48.51350156,2018/8/16 22:18
48.50442525,2018/8/16 22:26
48.4969429,2018/8/16 22:35
48.49460676,2018/8/16 22:36
48.49133566,2018/8/16 22:37
48.49060179,2018/8/16 22:38
48.48700146,2018/8/16 22:39
48.48476458,2018/8/16 22:41
48.48647107,2018/8/16 22:48
48.47997247,2018/8/16 22:55
48.47365719,2018/8/16 22:56
48.49062929,2018/8/16 22:57
48.49390204,2018/8/16 22:58
48.47955575,2018/8/16 22:59
48.4628801,2018/8/16 23:00
48.44782314,2018/8/16 23:01
48.43748539,2018/8/16 23:02
48.42762827,2018/8/16 23:03
48.41901803,2018/8/16 23:08
48.41127292,2018/8/16 23:17
48.40979181,2018/8/16 23:21
48.41717399,2018/8/16 23:22
48.41817103,2018/8/16 23:29
48.41322384,2018/8/16 23:37
48.42022574,2018/8/16 23:42
48.4254069,2018/8/17 0:05
48.41598665,2018/8/17 0:34
48.42639478,2018/8/17 0:45
48.43551475,2018/8/17 1:06
48.43831304,2018/8/17 1:08
48.44496119,2018/8/17 1:20
48.45398857,2018/8/17 1:27
48.45084948,2018/8/17 1:45
48.45763225,2018/8/17 1:51
48.45932735,2018/8/17 1:58
48.45453231,2018/8/17 2:08
48.45686512,2018/8/17 2:16
48.45542207,2018/8/17 2:19
48.50531562,2018/8/17 2:25
48.49473563,2018/8/17 2:29
48.48584421,2018/8/17 9:00
48.47695969,2018/8/17 9:02
48.47447625,2018/8/17 9:03
48.46866983,2018/8/17 9:04
48.47785815,2018/8/17 9:06
48.47614835,2018/8/17 9:07
48.47734415,2018/8/17 9:08
48.46557481,2018/8/17 9:09
48.46783439,2018/8/17 9:10
48.47331171,2018/8/17 9:11
48.47372532,2018/8/17 9:12
48.47146581,2018/8/17 9:13
48.47129456,2018/8/17 9:15
48.47165772,2018/8/17 9:16
48.47137722,2018/8/17 9:17
48.47358737,2018/8/17 9:18
48.48416671,2018/8/17 9:19
48.480333,2018/8/17 9:20
48.47420998,2018/8/17 9:21
48.47612983,2018/8/17 9:22
48.47960745,2018/8/17 9:26
48.47662191,2018/8/17 9:27
48.47952685,2018/8/17 9:28
48.4819633,2018/8/17 9:29
48.48363298,2018/8/17 9:31
48.4842707,2018/8/17 9:32
48.49032327,2018/8/17 9:33
48.49101699,2018/8/17 9:34
48.48949509,2018/8/17 9:35
48.48733277,2018/8/17 9:37
48.48524489,2018/8/17 9:39
48.48406229,2018/8/17 9:40
48.48280732,2018/8/17 9:41
48.48132802,2018/8/17 9:42
48.47964144,2018/8/17 9:43
48.4768061,2018/8/17 9:44
48.47611081,2018/8/17 9:46
48.4725638,2018/8/17 9:47
48.47130314,2018/8/17 9:50
48.46757867,2018/8/17 9:51
48.46936391,2018/8/17 9:53
48.47162924,2018/8/17 9:54
48.47297141,2018/8/17 9:55
48.47297397,2018/8/17 9:56
48.47495095,2018/8/17 9:57
48.47462635,2018/8/17 9:58
48.47433273,2018/8/17 10:00
48.47413348,2018/8/17 10:01
48.47528485,2018/8/17 10:02
48.47540153,2018/8/17 10:03
48.47462355,2018/8/17 10:04
48.47344865,2018/8/17 10:05
48.47417648,2018/8/17 10:06
48.47527276,2018/8/17 10:07
48.47566151,2018/8/17 10:08
48.47566732,2018/8/17 10:09
48.47259049,2018/8/17 10:11
48.46902883,2018/8/17 10:12
48.46994163,2018/8/17 10:16
48.46957397,2018/8/17 10:17
48.4656375,2018/8/17 10:19
48.46605476,2018/8/17 10:20
48.46894901,2018/8/17 10:21
48.46753449,2018/8/17 10:22
48.46626657,2018/8/17 10:23
48.46806094,2018/8/17 10:24
48.47081017,2018/8/17 10:25
48.47059482,2018/8/17 10:26
48.4681278,2018/8/17 10:27
48.46776377,2018/8/17 10:29
48.46698643,2018/8/17 10:31
48.4672294,2018/8/17 10:32
48.46260287,2018/8/17 10:33
48.46555402,2018/8/17 10:34
48.4597243,2018/8/17 10:35
48.45982282,2018/8/17 10:38
48.45991395,2018/8/17 10:39
48.46060818,2018/8/17 10:40
48.45986365,2018/8/17 10:41
48.45979673,2018/8/17 10:42
48.45939634,2018/8/17 10:44
48.46027626,2018/8/17 10:45
48.46118914,2018/8/17 10:46
48.46177131,2018/8/17 10:47
48.46207628,2018/8/17 10:48
