lbma from Au(T+D),Au(T+D) from LBMA,Dates_x
0.108458044,37.06045412,2018/6/25 14:02
0.109204074,37.0772003,2018/6/25 14:04
0.105725074,37.06658838,2018/6/25 14:21
0.107587387,37.07273894,2018/6/25 14:25
0.10649308,37.10622724,2018/6/25 14:34
0.101574495,37.08482805,2018/6/25 14:47
0.099518519,37.076943,2018/6/25 14:53
0.099528964,37.0720501,2018/6/25 15:00
0.093574265,37.02048415,2018/6/25 15:03
0.092003556,36.99627295,2018/6/25 15:17
0.091299891,37.0043413,2018/6/25 15:18
0.091048654,37.01275247,2018/6/25 15:19
0.090775463,37.02256774,2018/6/25 15:22
0.091186091,37.02066415,2018/6/25 15:23
0.072911873,36.85236322,2018/6/25 20:01
0.074080119,36.87452634,2018/6/25 20:08
0.072167829,36.86980126,2018/6/25 20:11
0.068559022,36.81484872,2018/6/25 20:13
0.070733262,36.79633367,2018/6/25 20:18
0.072830026,36.79380472,2018/6/25 20:19
0.072048494,36.79007283,2018/6/25 20:20
0.070892756,36.80183158,2018/6/25 20:22
0.073065816,36.80734121,2018/6/25 20:24
0.073802098,36.83786737,2018/6/25 20:31
0.065886812,36.77755738,2018/6/25 20:33
0.066274693,36.76936665,2018/6/25 20:35
0.070201608,36.76644543,2018/6/25 20:41
0.071956953,36.79164221,2018/6/25 20:46
0.074559514,36.82542045,2018/6/25 20:48
0.079075158,36.87747075,2018/6/25 20:51
0.078435178,36.85011628,2018/6/25 20:54
0.078975943,36.85029974,2018/6/25 20:58
0.081200121,36.86734103,2018/6/25 21:01
0.081441081,36.88644909,2018/6/25 21:02
0.08177699,36.89373329,2018/6/25 21:03
0.079067289,36.87054277,2018/6/25 21:04
0.078674787,36.85870048,2018/6/25 21:11
0.077920765,36.85244969,2018/6/25 21:12
0.077181524,36.84721758,2018/6/25 21:15
0.085151678,36.88763742,2018/6/25 21:16
0.082630429,36.86790543,2018/6/25 21:17
0.081867224,36.83911871,2018/6/25 21:22
0.084365227,36.88357012,2018/6/25 21:28
0.080369629,36.83621816,2018/6/25 21:30
0.077324987,36.82227174,2018/6/25 21:34
0.07775182,36.81781373,2018/6/25 21:35
0.0789071,36.7999447,2018/6/25 21:39
0.073225016,36.7227376,2018/6/25 21:49
0.077983992,36.72042848,2018/6/25 21:50
0.071580852,36.71606161,2018/6/25 22:00
0.069553493,36.7101661,2018/6/25 22:01
0.067719353,36.66601088,2018/6/25 22:02
0.069440243,36.70110821,2018/6/25 22:03
0.0722125,36.71184477,2018/6/25 22:09
0.071418152,36.69417472,2018/6/25 22:10
0.070541983,36.71198556,2018/6/25 22:14
0.071996297,36.72765069,2018/6/25 22:19
0.071950239,36.72000043,2018/6/25 22:20
0.077621132,36.70546529,2018/6/25 22:23
0.076816937,36.69139253,2018/6/25 22:24
0.079146312,36.73646864,2018/6/25 22:26
0.078271759,36.7523634,2018/6/25 22:28
0.077307976,36.75354969,2018/6/25 22:30
0.078121115,36.73596419,2018/6/25 22:31
0.078264551,36.7446057,2018/6/25 22:32
0.078463206,36.74551965,2018/6/25 22:33
0.078531883,36.65276958,2018/6/25 22:35
0.078923519,36.71606565,2018/6/25 22:37
0.076390459,36.70162431,2018/6/25 22:39
0.082874056,36.77140736,2018/6/25 22:44
0.084367781,36.77936742,2018/6/25 22:46
0.079991718,36.76800252,2018/6/25 22:47
0.080264399,36.7703951,2018/6/25 22:48
0.079949044,36.75941286,2018/6/25 22:50
0.078181036,36.74528573,2018/6/25 22:52
0.077932992,36.72203194,2018/6/25 22:53
0.076450008,36.7183032,2018/6/25 22:54
0.07656683,36.72630941,2018/6/25 22:55
0.076772351,36.72927369,2018/6/25 22:56
0.078138556,36.71479625,2018/6/25 22:57
0.076538415,36.70941502,2018/6/25 22:58
0.075788053,36.70655819,2018/6/25 23:01
0.075683777,36.70305919,2018/6/25 23:02
0.075585937,36.69844297,2018/6/25 23:03
0.075038561,36.69477969,2018/6/25 23:04
0.075415396,36.68931266,2018/6/25 23:05
0.074754522,36.68952471,2018/6/25 23:06
0.074535737,36.69026892,2018/6/25 23:10
0.077232813,36.68848147,2018/6/25 23:14
0.076501705,36.69474135,2018/6/25 23:16
0.078084034,36.68909355,2018/6/25 23:23
0.072130995,36.64592011,2018/6/25 23:27
0.073044338,36.64174234,2018/6/25 23:28
0.076245922,36.66526842,2018/6/25 23:42
0.075074717,36.65572662,2018/6/25 23:51
0.075581271,36.66226395,2018/6/25 23:56
0.075242837,36.6617393,2018/6/26 0:07
0.07995234,36.68450702,2018/6/26 0:32
0.07724066,36.69282126,2018/6/26 0:58
0.076489806,36.69891341,2018/6/26 1:04
0.076903868,36.68549595,2018/6/26 1:12
0.076517335,36.66880813,2018/6/26 1:13
0.071330878,36.65272099,2018/6/26 1:16
0.070651653,36.65286377,2018/6/26 1:20
0.071452372,36.62947969,2018/6/26 1:21
0.070405329,36.62319543,2018/6/26 1:25
0.071111992,36.63199746,2018/6/26 1:44
0.071930048,36.63979263,2018/6/26 1:45
0.072996036,36.65411927,2018/6/26 1:53
0.071746101,36.68210558,2018/6/26 9:00
0.070654326,36.67132541,2018/6/26 9:01
0.070234624,36.66818853,2018/6/26 9:02
0.069146584,36.67019736,2018/6/26 9:03
0.070605485,36.6711358,2018/6/26 9:05
0.070899874,36.66387959,2018/6/26 9:08
0.070294668,36.66714159,2018/6/26 9:15
0.069183893,36.65611638,2018/6/26 9:16
0.069260167,36.64605137,2018/6/26 9:19
0.07044211,36.64557737,2018/6/26 9:20
0.071234148,36.65788149,2018/6/26 9:31
0.078090351,36.65754658,2018/6/26 10:00
0.080718158,36.6352867,2018/6/26 10:02
0.09702097,36.4918748,2018/6/26 10:49
0.092137094,36.4800151,2018/6/26 10:50
0.089951309,36.47701272,2018/6/26 10:55
0.089062363,36.47189478,2018/6/26 10:57
0.091012415,36.47689256,2018/6/26 10:58
0.09032578,36.46862013,2018/6/26 10:59
0.087480059,36.45198765,2018/6/26 11:01
0.087414868,36.44768604,2018/6/26 11:03
0.090615864,36.44139276,2018/6/26 11:15
0.087946495,36.47351189,2018/6/26 13:30
0.08868762,36.46634605,2018/6/26 13:31
0.086966024,36.45296287,2018/6/26 13:32
0.086628274,36.4583725,2018/6/26 13:40
0.086184121,36.4730061,2018/6/26 13:41
