structure.c,Dates_x
36.61493076,2018/6/27 11:11
36.64560622,2018/6/27 11:12
36.62847044,2018/6/27 11:13
36.67212002,2018/6/27 11:14
36.76586252,2018/6/27 11:15
36.78329209,2018/6/27 11:18
36.78144434,2018/6/27 13:51
36.77473746,2018/6/27 13:54
36.78027535,2018/6/27 14:28
36.79175497,2018/6/27 14:31
36.76562199,2018/6/27 14:36
36.73570193,2018/6/27 14:57
36.76591179,2018/6/27 14:58
36.78268584,2018/6/27 15:04
36.7731853,2018/6/27 15:19
36.75876193,2018/6/27 15:23
36.76292157,2018/6/27 15:24
36.71764507,2018/6/27 19:59
36.73537941,2018/6/27 20:00
36.6894757,2018/6/27 20:01
36.66128109,2018/6/27 20:02
36.67060589,2018/6/27 20:04
36.68471166,2018/6/27 20:05
36.70355118,2018/6/27 20:07
36.71485859,2018/6/27 20:08
36.7181365,2018/6/27 20:09
36.7252655,2018/6/27 20:18
36.72430618,2018/6/27 20:21
36.70174475,2018/6/27 20:22
36.69262095,2018/6/27 20:24
36.7243663,2018/6/27 20:26
36.72632464,2018/6/27 20:27
36.72521001,2018/6/27 20:28
36.71007006,2018/6/27 20:30
36.74282568,2018/6/27 20:31
36.77549498,2018/6/27 20:35
36.78570616,2018/6/27 20:37
36.79148531,2018/6/27 20:38
36.7802115,2018/6/27 20:39
36.77632477,2018/6/27 20:40
36.76409945,2018/6/27 20:43
36.73499779,2018/6/27 20:47
36.73018613,2018/6/27 20:48
36.71141464,2018/6/27 20:49
36.71710023,2018/6/27 20:50
36.7172538,2018/6/27 20:53
36.71548875,2018/6/27 21:01
36.72214441,2018/6/27 21:02
36.72891044,2018/6/27 21:03
36.71779132,2018/6/27 21:04
36.68885334,2018/6/27 21:05
36.67919543,2018/6/27 21:06
36.67370032,2018/6/27 21:10
36.64800551,2018/6/27 21:11
36.65176706,2018/6/27 21:14
36.67082521,2018/6/27 21:25
36.67717153,2018/6/27 21:26
36.67563947,2018/6/27 21:28
36.67895521,2018/6/27 21:31
36.65523486,2018/6/27 21:32
36.67105309,2018/6/27 21:33
36.64937045,2018/6/27 21:35
36.62760339,2018/6/27 21:36
36.63964395,2018/6/27 21:38
36.60965521,2018/6/27 21:40
36.59292674,2018/6/27 21:41
36.5922009,2018/6/27 21:42
36.5622573,2018/6/27 21:47
36.56391077,2018/6/27 21:48
36.55498493,2018/6/27 21:53
36.55601038,2018/6/27 21:55
36.5711816,2018/6/27 21:57
36.61733009,2018/6/27 22:00
36.61869729,2018/6/27 22:01
36.62405157,2018/6/27 22:03
36.60733942,2018/6/27 22:06
36.61069403,2018/6/27 22:07
36.59926193,2018/6/27 22:08
36.58346003,2018/6/27 22:10
36.51838736,2018/6/27 22:16
36.51693822,2018/6/27 22:17
36.52560429,2018/6/27 22:18
36.51704528,2018/6/27 22:19
36.51779785,2018/6/27 22:20
36.50897014,2018/6/27 22:21
36.49671857,2018/6/27 22:22
36.47973356,2018/6/27 22:23
36.47385494,2018/6/27 22:24
36.4585597,2018/6/27 22:28
36.4450196,2018/6/27 22:30
36.42262316,2018/6/27 22:33
36.41177762,2018/6/27 22:34
36.39876249,2018/6/27 22:35
36.41319082,2018/6/27 22:36
36.38255849,2018/6/27 22:39
36.35209973,2018/6/27 22:43
36.32168503,2018/6/27 22:46
36.31358796,2018/6/27 22:49
36.3243121,2018/6/27 22:54
36.31388238,2018/6/27 22:55
36.305279,2018/6/27 22:56
36.35327331,2018/6/27 22:59
36.32531858,2018/6/27 23:01
36.30315802,2018/6/27 23:05
36.28466102,2018/6/27 23:06
36.29699249,2018/6/27 23:07
36.28186582,2018/6/27 23:08
36.26962513,2018/6/27 23:12
36.25194759,2018/6/27 23:14
36.25400458,2018/6/27 23:17
36.24472794,2018/6/27 23:18
36.23200879,2018/6/27 23:19
36.24838259,2018/6/27 23:22
36.25927684,2018/6/27 23:23
36.30738835,2018/6/27 23:24
36.29604092,2018/6/27 23:26
36.27520515,2018/6/27 23:27
36.23883242,2018/6/27 23:31
36.25830377,2018/6/27 23:47
36.20488744,2018/6/27 23:57
36.19556297,2018/6/28 0:02
36.1830607,2018/6/28 0:05
