,Unnamed: 0_x,Dates_x,open,high,low,close,volume,times,days,Unnamed: 0_y,Dates_y,Open,Close,High,Low,Value,Volume
67962,7104,2018/8/22 13:53,264.5,264.5,264.5,264.5,8986,1534917180,0,67962,2018/8/22 13:53,264.36,264.38,264.38,264.36,21678280,82000
67963,7105,2018/8/22 13:54,264.5,264.5,264.5,264.5,26036,1534917240,0,67963,2018/8/22 13:54,264.37,264.36,264.37,264.36,52344960,198000
67964,7106,2018/8/22 13:55,264.5,264.53,264.5,264.51,12404,1534917300,0,67964,2018/8/22 13:55,264.37,264.35,264.37,264.35,89882656,340000
67965,7107,2018/8/22 13:56,264.53,264.53,264.5,264.5,14672,1534917360,0,67965,2018/8/22 13:56,264.35,264.35,264.35,264.35,5815700,22000
67966,7108,2018/8/22 13:57,264.5,264.5,264.48,264.5,25390,1534917420,0,67966,2018/8/22 13:57,264.35,264.35,264.35,264.34,30135880,114000
67967,7109,2018/8/22 13:58,264.5,264.5,264.5,264.5,7810,1534917480,0,67967,2018/8/22 13:58,264.36,264.36,264.36,264.36,3172319.75,12000
67968,7110,2018/8/22 13:59,264.48,264.5,264.48,264.48,7000,1534917540,0,67968,2018/8/22 13:59,264.36,264.35,264.36,264.35,79305960,300000
67969,7111,2018/8/22 14:00,264.48,264.48,264.48,264.48,560,1534917600,0,67969,2018/8/22 14:00,264.35,264.35,264.38,264.35,33308180,126000
67970,7112,2018/8/22 14:01,264.48,264.5,264.46,264.48,17348,1534917660,0,67970,2018/8/22 14:01,264.35,264.38,264.38,264.35,39124820,148000
67971,7113,2018/8/22 14:02,264.48,264.48,264.48,264.48,912,1534917720,0,67971,2018/8/22 14:02,264.38,264.39,264.39,264.35,38599820,146000
67972,7114,2018/8/22 14:03,264.48,264.5,264.48,264.48,4610,1534917780,0,67972,2018/8/22 14:03,264.38,264.38,264.38,264.38,26438000,100000
67973,7115,2018/8/22 14:04,264.5,264.5,264.48,264.49,10870,1534917840,0,67973,2018/8/22 14:04,264.38,264.39,264.39,264.38,11104180,42000
67974,7116,2018/8/22 14:05,264.49,264.49,264.49,264.49,5200,1534917900,0,67974,2018/8/22 14:05,264.36,264.36,264.36,264.36,27493438,104000
67975,7117,2018/8/22 14:06,264.49,264.49,264.49,264.49,6606,1534917960,0,67975,2018/8/22 14:06,264.35,264.36,264.36,264.35,41239600,156000
67976,7118,2018/8/22 14:07,264.49,264.49,264.48,264.48,3016,1534918020,0,67976,2018/8/22 14:07,264.35,264.36,264.36,264.35,39124796,148000
67977,7119,2018/8/22 14:08,264.47,264.48,264.46,264.48,13600,1534918080,0,67977,2018/8/22 14:08,264.34,264.34,264.34,264.34,3700760,14000
67978,7120,2018/8/22 14:09,264.45,264.45,264.45,264.45,6000,1534918140,0,67978,2018/8/22 14:09,264.34,264.33,264.34,264.33,7930160,30000
67979,7121,2018/8/22 14:10,264.45,264.45,264.42,264.42,5624,1534918200,0,67979,2018/8/22 14:10,264.3,264.3,264.3,264.3,7400400,28000
67980,7122,2018/8/22 14:11,264.4,264.4,264.4,264.4,6876,1534918260,0,67980,2018/8/22 14:11,264.29,264.29,264.29,264.27,4228560,16000
67981,7123,2018/8/22 14:12,264.36,264.36,264.36,264.36,3680,1534918320,0,67981,2018/8/22 14:12,264.27,264.21,264.27,264.21,12684100,48000
67982,7124,2018/8/22 14:13,264.39,264.39,264.39,264.39,1200,1534918380,0,67982,2018/8/22 14:13,264.21,264.2,264.21,264.2,62880104,238000
67983,7125,2018/8/22 14:14,264.4,264.4,264.36,264.36,6728,1534918440,0,67983,2018/8/22 14:14,264.21,264.16,264.21,264.15,17436060,66000
67984,7126,2018/8/22 14:15,264.36,264.36,264.35,264.35,2642,1534918500,0,67984,2018/8/22 14:15,264.16,264.17,264.17,264.16,12679700,48000
67985,7127,2018/8/22 14:16,264.35,264.35,264.31,264.35,7802,1534918560,0,67985,2018/8/22 14:16,264.16,264.18,264.18,264.16,24302960,92000
67986,7128,2018/8/22 14:17,264.31,264.35,264.31,264.35,9908,1534918620,0,67986,2018/8/22 14:17,264.17,264.2,264.2,264.17,20606700,78000
67987,7129,2018/8/22 14:18,264.35,264.35,264.33,264.33,6300,1534918680,0,67987,2018/8/22 14:18,264.2,264.24,264.24,264.2,5813100,22000
67988,7130,2018/8/22 14:19,264.3,264.3,264.3,264.3,5432,1534918740,0,67988,2018/8/22 14:19,264.22,264.21,264.22,264.2,24835700,94000
67989,7131,2018/8/22 14:20,264.3,264.3,264.25,264.25,8600,1534918800,0,67989,2018/8/22 14:20,264.21,264.18,264.21,264.18,40155960,152000
67990,7132,2018/8/22 14:21,264.2,264.22,264.18,264.18,12268,1534918860,0,67990,2018/8/22 14:21,264.18,264.18,264.18,264.17,14793820,56000
67991,7133,2018/8/22 14:22,264.22,264.22,264.18,264.18,6000,1534918920,0,67991,2018/8/22 14:22,264.17,264.18,264.18,264.16,71325240,270000
67992,7134,2018/8/22 14:23,264.2,264.22,264.2,264.22,19240,1534918980,0,67992,2018/8/22 14:23,264.18,264.17,264.18,264.16,13208780,50000
67993,7135,2018/8/22 14:24,264.22,264.22,264.22,264.22,2010,1534919040,0,67993,2018/8/22 14:24,264.17,264.17,264.18,264.17,23775322,90000
67994,7136,2018/8/22 14:25,264.2,264.2,264.2,264.2,542,1534919100,0,67994,2018/8/22 14:25,264.18,264.19,264.19,264.18,79254520,300000
67995,7137,2018/8/22 14:26,264.2,264.2,264.15,264.2,16000,1534919160,0,67995,2018/8/22 14:26,264.19,264.19,264.2,264.18,13738000,52000
67997,7138,2018/8/22 14:28,264.21,264.21,264.2,264.2,7678,1534919280,0,67997,2018/8/22 14:28,264.18,264.18,264.18,264.18,10567200,40000
67998,7139,2018/8/22 14:29,264.18,264.2,264.15,264.15,10384,1534919340,0,67998,2018/8/22 14:29,264.18,264.16,264.18,264.16,28531000,108000
67999,7140,2018/8/22 14:30,264.2,264.2,264.2,264.2,2380,1534919400,0,67999,2018/8/22 14:30,264.11,264.11,264.11,264.11,1056440,4000
68000,7141,2018/8/22 14:31,264.17,264.17,264.17,264.17,3600,1534919460,0,68000,2018/8/22 14:31,264.11,264.11,264.11,264.1,12148960,46000
68001,7142,2018/8/22 14:32,264.15,264.15,264.11,264.15,3380,1534919520,0,68001,2018/8/22 14:32,264.1,264.1,264.12,264.09,31164460,118000
68002,7143,2018/8/22 14:33,264.15,264.15,264.1,264.1,2010,1534919580,0,68002,2018/8/22 14:33,264.08,264.09,264.1,264.08,31163500,118000
68003,7144,2018/8/22 14:34,264.1,264.15,264.1,264.15,13804,1534919640,0,68003,2018/8/22 14:34,264.1,264.09,264.1,264.09,44368540,168000
68004,7145,2018/8/22 14:35,264.15,264.15,264.15,264.15,8426,1534919700,0,68004,2018/8/22 14:35,264.1,264.09,264.1,264.09,80285216,304000
68005,7146,2018/8/22 14:36,264.17,264.17,264.15,264.15,6874,1534919760,0,68005,2018/8/22 14:36,264.09,264.09,264.09,264.08,8450840,32000
68006,7147,2018/8/22 14:37,264.15,264.15,264.15,264.15,3226,1534919820,0,68006,2018/8/22 14:37,264.09,264.12,264.12,264.09,21657140,82000
68008,7148,2018/8/22 14:39,264.15,264.15,264.15,264.15,3812,1534919940,0,68008,2018/8/22 14:39,264.12,264.12,264.12,264.11,25355220,96000
68010,7149,2018/8/22 14:41,264.15,264.15,264.12,264.12,800,1534920060,0,68010,2018/8/22 14:41,264.11,264.1,264.11,264.1,8451479,32000
68011,7150,2018/8/22 14:42,264.12,264.12,264.12,264.12,20,1534920120,0,68011,2018/8/22 14:42,264.09,264.08,264.09,264.08,35386856,134000
68012,7151,2018/8/22 14:43,264.1,264.1,264.1,264.1,10858,1534920180,0,68012,2018/8/22 14:43,264.08,264.07,264.09,264.07,21654658,82000
68013,7152,2018/8/22 14:44,264.1,264.1,264.1,264.1,6800,1534920240,0,68013,2018/8/22 14:44,264.03,264.08,264.08,264.02,29044118,110000
68014,7153,2018/8/22 14:45,264.1,264.1,264.1,264.1,3502,1534920300,0,68014,2018/8/22 14:45,264.01,264.07,264.07,264,117749616,446000
68015,7154,2018/8/22 14:46,264.12,264.12,264.12,264.12,3186,1534920360,0,68015,2018/8/22 14:46,264.07,264.06,264.08,264.06,9506380,36000
68016,7155,2018/8/22 14:47,264.1,264.15,264.1,264.15,9858,1534920420,0,68016,2018/8/22 14:47,264.08,264.09,264.09,264.08,27464678,104000
68018,7157,2018/8/22 14:50,264.15,264.15,264.15,264.15,1920,1534920600,0,68018,2018/8/22 14:50,264.11,264.11,264.11,264.11,1056440,4000
68019,7158,2018/8/22 14:51,264.12,264.19,264.12,264.19,3548,1534920660,0,68019,2018/8/22 14:51,264.11,264.11,264.11,264.11,4753979.5,18000
68020,7159,2018/8/22 14:52,264.15,264.15,264.15,264.15,8800,1534920720,0,68020,2018/8/22 14:52,264.11,264.11,264.11,264.11,1584659.88,6000
68021,7160,2018/8/22 14:53,264.15,264.18,264.15,264.17,4204,1534920780,0,68021,2018/8/22 14:53,264.11,264.1,264.11,264.1,2112860,8000
68022,7161,2018/8/22 14:54,264.18,264.18,264.17,264.17,818,1534920840,0,68022,2018/8/22 14:54,264.1,264.1,264.1,264.09,40671240,154000
68023,7162,2018/8/22 14:55,264.18,264.18,264.15,264.15,2502,1534920900,0,68023,2018/8/22 14:55,264.11,264.11,264.13,264.1,24826480,94000
68024,7163,2018/8/22 14:56,264.18,264.18,264.18,264.18,3336,1534920960,0,68024,2018/8/22 14:56,264.1,264.15,264.15,264.1,57050640,216000
68025,7164,2018/8/22 14:57,264.15,264.15,264.15,264.15,4002,1534921020,0,68025,2018/8/22 14:57,264.15,264.14,264.16,264.11,18489860,70000
68026,7165,2018/8/22 14:58,264.15,264.15,264.15,264.15,5998,1534921080,0,68026,2018/8/22 14:58,264.14,264.15,264.19,264.14,38565744,146000
68028,7166,2018/8/22 15:00,264.15,264.15,264.15,264.15,1802,1534921200,0,68028,2018/8/22 15:00,264.18,264.15,264.18,264.15,20604060,78000
68029,7167,2018/8/22 15:01,264.15,264.15,264.15,264.15,5646,1534921260,0,68029,2018/8/22 15:01,264.15,264.15,264.15,264.15,3169800,12000
68030,7168,2018/8/22 15:02,264.15,264.15,264.13,264.15,4354,1534921320,0,68030,2018/8/22 15:02,264.14,264.08,264.14,264.08,16902720,64000
68031,7169,2018/8/22 15:03,264.18,264.18,264.15,264.15,2738,1534921380,0,68031,2018/8/22 15:03,264.1,264.08,264.1,264.08,1584560,6000
68032,7170,2018/8/22 15:04,264.15,264.18,264.15,264.18,2890,1534921440,0,68032,2018/8/22 15:04,264.08,264.1,264.1,264.08,70774432,268000
68033,7171,2018/8/22 15:05,264.18,264.18,264.18,264.18,4000,1534921500,0,68033,2018/8/22 15:05,264.15,264.1,264.15,264.1,28523400,108000
68034,7172,2018/8/22 15:06,264.18,264.18,264.18,264.18,3202,1534921560,0,68034,2018/8/22 15:06,264.1,264.13,264.14,264.08,19544600,74000
68035,7173,2018/8/22 15:07,264.18,264.18,264.15,264.15,1296,1534921620,0,68035,2018/8/22 15:07,264.14,264.08,264.14,264.08,62856240,238000
68036,7174,2018/8/22 15:08,264.18,264.18,264.15,264.18,13516,1534921680,0,68036,2018/8/22 15:08,264.08,264.07,264.08,264.07,3168920,12000
68037,7175,2018/8/22 15:09,264.18,264.18,264.15,264.15,1302,1534921740,0,68037,2018/8/22 15:09,264.07,264.07,264.07,264.05,9506160,36000
68038,7176,2018/8/22 15:10,264.18,264.2,264.18,264.18,1482,1534921800,0,68038,2018/8/22 15:10,264.08,264.07,264.08,264.07,8450300,32000
68039,7177,2018/8/22 15:11,264.19,264.2,264.19,264.2,964,1534921860,0,68039,2018/8/22 15:11,264.07,264.05,264.07,264.05,39079436,148000
68040,7178,2018/8/22 15:12,264.2,264.2,264.2,264.2,278,1534921920,0,68040,2018/8/22 15:12,264.05,264.05,264.05,264.05,2640500,10000
68041,7179,2018/8/22 15:13,264.2,264.2,264.2,264.2,1722,1534921980,0,68041,2018/8/22 15:13,264.05,264.03,264.05,264.03,26404740,100000
68042,7180,2018/8/22 15:14,264.19,264.2,264.15,264.15,90,1534922040,0,68042,2018/8/22 15:14,264.04,264.03,264.04,264.03,14785800,56000
68043,7181,2018/8/22 15:15,264.1,264.15,264.1,264.1,11090,1534922100,0,68043,2018/8/22 15:15,264.04,264.04,264.04,264.02,51749176,196000
68044,7182,2018/8/22 15:16,264.1,264.1,264.1,264.1,298,1534922160,0,68044,2018/8/22 15:16,264.04,264.04,264.06,264.02,28515680,108000
68045,7183,2018/8/22 15:17,264.1,264.1,264.1,264.1,6972,1534922220,0,68045,2018/8/22 15:17,264.06,264.05,264.06,264.05,9506140,36000
