Dates,open,high,low,close,volume
2018/10/10 22:26,267.8,267.8,267.75,267.8,264
2018/10/10 22:27,267.75,267.8,267.75,267.75,204
2018/10/10 22:28,267.75,267.85,267.75,267.85,228
2018/10/10 22:29,267.85,267.85,267.8,267.85,34
2018/10/10 22:30,267.8,267.8,267.7,267.8,760
2018/10/10 22:31,267.8,267.8,267.75,267.8,238
2018/10/10 22:32,267.8,267.8,267.75,267.8,208
2018/10/10 22:33,267.75,267.8,267.75,267.75,464
2018/10/10 22:34,267.75,267.8,267.75,267.75,214
2018/10/10 22:35,267.75,267.75,267.7,267.75,314
2018/10/10 22:36,267.75,267.75,267.75,267.75,64
2018/10/10 22:37,267.75,267.75,267.75,267.75,4
2018/10/10 22:38,267.8,267.8,267.8,267.8,18
2018/10/10 22:39,267.8,267.8,267.75,267.75,22
2018/10/10 22:40,267.8,267.8,267.75,267.75,136
2018/10/10 22:41,267.8,267.85,267.8,267.8,318
2018/10/10 22:42,267.8,267.8,267.75,267.75,252
2018/10/10 22:43,267.8,267.8,267.65,267.65,568
2018/10/10 22:44,267.65,267.75,267.65,267.7,220
2018/10/10 22:45,267.65,267.65,267.55,267.6,1658
2018/10/10 22:46,267.6,267.7,267.6,267.6,520
2018/10/10 22:47,267.6,267.6,267.55,267.55,362
2018/10/10 22:48,267.55,267.6,267.55,267.6,684
2018/10/10 22:49,267.65,267.7,267.6,267.7,116
2018/10/10 22:50,267.65,267.7,267.65,267.7,158
2018/10/10 22:51,267.65,267.75,267.65,267.75,216
2018/10/10 22:52,267.75,267.75,267.7,267.75,30
2018/10/10 22:53,267.75,267.75,267.65,267.7,384
2018/10/10 22:54,267.7,267.75,267.7,267.75,66
2018/10/10 22:55,267.75,267.75,267.7,267.7,76
2018/10/10 22:56,267.7,267.75,267.7,267.7,18
2018/10/10 22:57,267.7,267.75,267.65,267.75,264
2018/10/10 22:58,267.75,267.8,267.75,267.8,56
2018/10/10 22:59,267.8,267.8,267.75,267.8,34
2018/10/10 23:00,267.8,267.8,267.75,267.75,200
2018/10/10 23:01,267.7,267.8,267.7,267.8,38
2018/10/10 23:02,267.8,267.8,267.7,267.7,60
2018/10/10 23:03,267.75,267.75,267.75,267.75,28
2018/10/10 23:04,267.75,267.8,267.75,267.8,44
2018/10/10 23:05,267.8,267.8,267.8,267.8,8
2018/10/10 23:06,267.8,267.8,267.8,267.8,240
2018/10/10 23:07,267.75,267.8,267.75,267.8,172
2018/10/10 23:08,267.8,267.8,267.7,267.75,340
2018/10/10 23:09,267.8,267.8,267.7,267.7,46
2018/10/10 23:10,267.75,267.8,267.7,267.75,274
2018/10/10 23:11,267.75,267.8,267.75,267.75,88
2018/10/10 23:12,267.75,267.75,267.7,267.7,44
2018/10/10 23:13,267.75,267.8,267.7,267.8,130
2018/10/10 23:14,267.75,267.8,267.7,267.7,202
2018/10/10 23:15,267.7,267.75,267.7,267.75,128
2018/10/10 23:16,267.75,267.8,267.75,267.75,144
2018/10/10 23:17,267.8,267.85,267.8,267.85,416
2018/10/10 23:18,267.85,267.85,267.8,267.85,116
2018/10/10 23:19,267.85,267.85,267.8,267.8,16
2018/10/10 23:20,267.85,267.85,267.8,267.85,90
2018/10/10 23:21,267.85,267.9,267.85,267.9,114
2018/10/10 23:22,267.9,267.9,267.85,267.9,184
2018/10/10 23:23,267.9,267.9,267.9,267.9,124
2018/10/10 23:24,267.9,267.9,267.85,267.9,102
2018/10/10 23:25,267.85,267.9,267.85,267.9,108
2018/10/10 23:26,267.9,267.9,267.9,267.9,58
2018/10/10 23:27,267.9,267.9,267.85,267.85,108
2018/10/10 23:28,267.9,267.9,267.85,267.85,60
2018/10/10 23:29,267.85,267.9,267.85,267.85,82
2018/10/10 23:30,267.9,267.9,267.85,267.9,20
2018/10/10 23:31,267.9,267.95,267.9,267.9,244
2018/10/10 23:32,267.9,267.9,267.9,267.9,16
2018/10/10 23:33,267.95,267.95,267.9,267.9,110
2018/10/10 23:34,267.9,267.95,267.9,267.95,28
2018/10/10 23:35,267.95,267.95,267.85,267.85,198
2018/10/10 23:36,267.9,267.95,267.9,267.95,782
2018/10/10 23:37,267.95,268,267.9,267.95,200
2018/10/10 23:38,267.95,267.95,267.9,267.9,182
2018/10/10 23:39,267.95,267.95,267.95,267.95,24
2018/10/10 23:40,267.95,267.95,267.95,267.95,4
2018/10/10 23:41,267.95,267.95,267.9,267.95,170
2018/10/10 23:42,267.95,268,267.95,268,52
2018/10/10 23:43,267.95,267.95,267.95,267.95,34
2018/10/10 23:44,267.95,268,267.95,268,108
2018/10/10 23:45,268,268,267.95,268,340
2018/10/10 23:46,268,268.05,267.95,267.95,1366
2018/10/10 23:47,267.95,268,267.95,267.95,110
2018/10/10 23:48,267.95,268,267.95,267.95,30
2018/10/10 23:49,268,268,267.95,268,128
2018/10/10 23:50,267.95,268,267.95,267.95,174
2018/10/10 23:51,267.95,268,267.95,268,182
2018/10/10 23:52,268,268,268,268,36
2018/10/10 23:53,267.95,268,267.95,268,112
2018/10/10 23:54,268,268.05,268,268.05,72
2018/10/10 23:55,268,268.05,268,268,102
2018/10/10 23:56,267.95,267.95,267.95,267.95,40
2018/10/10 23:57,267.95,268,267.95,268,12
2018/10/10 23:58,267.95,267.95,267.9,267.9,132
2018/10/10 23:59,267.9,267.9,267.9,267.9,10
2018/10/11 0:00,267.95,268,267.95,268,84
2018/10/11 0:01,267.95,268,267.95,268,8
2018/10/11 0:02,268,268,267.95,267.95,10
2018/10/11 0:03,267.95,267.95,267.9,267.9,70
2018/10/11 0:04,267.9,267.95,267.9,267.9,42
2018/10/11 0:05,267.9,267.95,267.9,267.95,120
2018/10/11 0:06,267.9,267.95,267.9,267.95,96
2018/10/11 0:07,267.95,268,267.95,267.95,10
2018/10/11 0:08,267.95,268,267.95,268,36
2018/10/11 0:09,268,268,267.95,267.95,16
2018/10/11 0:10,267.95,268,267.95,268,10
2018/10/11 0:11,267.95,268,267.95,268,218
2018/10/11 0:12,268,268,268,268,22
2018/10/11 0:13,268,268.1,268,268.05,450
2018/10/11 0:14,268.05,268.1,268,268.1,40
2018/10/11 0:15,268.1,268.1,268,268.05,132
2018/10/11 0:16,268.05,268.05,268,268.05,90
2018/10/11 0:17,268,268.05,268,268,186
2018/10/11 0:18,268.05,268.05,268.05,268.05,56
2018/10/11 0:19,268.05,268.05,268.05,268.05,136
2018/10/11 0:20,268.05,268.05,268.05,268.05,28
2018/10/11 0:21,268,268.05,268,268,52
2018/10/11 0:22,268,268,268,268,2
2018/10/11 0:23,268.05,268.05,268.05,268.05,2
2018/10/11 0:24,268.05,268.05,268,268,6
2018/10/11 0:26,268.05,268.05,268.05,268.05,4
2018/10/11 0:27,268,268.05,268,268.05,152
2018/10/11 0:28,268.05,268.05,268.05,268.05,4
2018/10/11 0:29,268,268,268,268,24
2018/10/11 0:30,268.05,268.05,268,268,26
2018/10/11 0:31,268,268,268,268,2
2018/10/11 0:33,268,268.05,268,268.05,6
