,Unnamed: 0_x,Dates_x,open,high,low,close,volume,times,days,Unnamed: 0_y,Dates_y,Open,Close,High,Low,Value,Volume
65726,5721,2018/8/16 10:49,261.85,261.85,261.84,261.85,242,1534387740,0,65726,2018/8/16 10:49,261.71,261.77,261.77,261.71,8899320,34000
65727,5722,2018/8/16 10:50,261.85,261.89,261.85,261.89,1094,1534387800,0,65727,2018/8/16 10:50,261.77,261.73,261.8,261.73,41883720,160000
65728,5723,2018/8/16 10:51,261.87,261.87,261.87,261.87,4014,1534387860,0,65728,2018/8/16 10:51,261.77,261.77,261.77,261.77,1570619.88,6000
65729,5724,2018/8/16 10:52,261.87,261.87,261.85,261.85,7932,1534387920,0,65729,2018/8/16 10:52,261.77,261.77,261.77,261.76,26176980,100000
65730,5725,2018/8/16 10:53,261.85,261.87,261.85,261.87,3058,1534387980,0,65730,2018/8/16 10:53,261.77,261.8,261.8,261.77,3664899.75,14000
65731,5726,2018/8/16 10:54,261.87,261.9,261.87,261.9,2200,1534388040,0,65731,2018/8/16 10:54,261.8,261.82,261.82,261.8,28274460,108000
65732,5727,2018/8/16 10:55,261.9,261.9,261.9,261.9,1542,1534388100,0,65732,2018/8/16 10:55,261.82,261.84,261.84,261.82,6807520,26000
65733,5728,2018/8/16 10:56,261.92,261.94,261.9,261.94,12110,1534388160,0,65733,2018/8/16 10:56,261.82,261.84,261.84,261.82,12044560,46000
65734,5729,2018/8/16 10:57,261.96,262,261.96,261.96,10748,1534388220,0,65734,2018/8/16 10:57,261.8,261.8,261.8,261.8,3141599.75,12000
65735,5730,2018/8/16 10:58,261.95,261.95,261.95,261.95,4000,1534388280,0,65735,2018/8/16 10:58,261.82,261.8,261.83,261.8,19898000,76000
65736,5731,2018/8/16 10:59,261.95,261.99,261.92,261.92,12020,1534388340,0,65736,2018/8/16 10:59,261.83,261.8,261.83,261.78,32986678,126000
65737,5732,2018/8/16 11:00,261.9,261.95,261.9,261.9,16576,1534388400,0,65737,2018/8/16 11:00,261.82,261.78,261.82,261.78,10995080,42000
65738,5733,2018/8/16 11:01,261.9,261.95,261.9,261.95,16026,1534388460,0,65738,2018/8/16 11:01,261.8,261.78,261.8,261.78,6282760,24000
65739,5734,2018/8/16 11:02,261.95,261.95,261.95,261.95,10,1534388520,0,65739,2018/8/16 11:02,261.79,261.78,261.79,261.78,12042320,46000
65740,5735,2018/8/16 11:03,261.95,261.95,261.9,261.95,14654,1534388580,0,65740,2018/8/16 11:03,261.79,261.8,261.8,261.79,1570760,6000
65741,5736,2018/8/16 11:04,261.9,261.91,261.9,261.91,6578,1534388640,0,65741,2018/8/16 11:04,261.8,261.8,261.81,261.79,18325700,70000
65742,5737,2018/8/16 11:05,261.91,261.91,261.9,261.9,4206,1534388700,0,65742,2018/8/16 11:05,261.78,261.77,261.8,261.77,5235760,20000
65743,5738,2018/8/16 11:06,261.9,261.9,261.86,261.86,9008,1534388760,0,65743,2018/8/16 11:06,261.73,261.73,261.73,261.72,18844540,72000
65744,5739,2018/8/16 11:07,261.86,261.87,261.85,261.85,26076,1534388820,0,65744,2018/8/16 11:07,261.73,261.75,261.77,261.73,13610800,52000
65745,5740,2018/8/16 11:08,261.86,261.86,261.85,261.85,40740,1534388880,0,65745,2018/8/16 11:08,261.75,261.75,261.75,261.73,34550840,132000
65746,5741,2018/8/16 11:09,261.85,261.85,261.85,261.85,4000,1534388940,0,65746,2018/8/16 11:09,261.75,261.75,261.75,261.75,13087500,50000
65747,5742,2018/8/16 11:10,261.85,261.85,261.84,261.85,9410,1534389000,0,65747,2018/8/16 11:10,261.75,261.75,261.75,261.75,3664500,14000
65748,5743,2018/8/16 11:11,261.84,261.85,261.84,261.84,1038,1534389060,0,65748,2018/8/16 11:11,261.71,261.7,261.72,261.7,14132320,54000
65749,5744,2018/8/16 11:12,261.84,261.84,261.83,261.83,1030,1534389120,0,65749,2018/8/16 11:12,261.7,261.7,261.7,261.66,10991240,42000
65750,5745,2018/8/16 11:13,261.84,261.84,261.83,261.84,150,1534389180,0,65750,2018/8/16 11:13,261.67,261.7,261.7,261.67,30356902,116000
65751,5746,2018/8/16 11:14,261.84,261.84,261.84,261.84,1202,1534389240,0,65751,2018/8/16 11:14,261.7,261.68,261.7,261.67,4710260,18000
65752,5747,2018/8/16 11:15,261.84,261.84,261.78,261.78,3200,1534389300,0,65752,2018/8/16 11:15,261.66,261.66,261.66,261.63,7849400,30000
65753,5748,2018/8/16 11:16,261.82,261.82,261.78,261.8,4210,1534389360,0,65753,2018/8/16 11:16,261.66,261.66,261.68,261.64,24073320,92000
65754,5749,2018/8/16 11:17,261.78,261.8,261.78,261.8,6162,1534389420,0,65754,2018/8/16 11:17,261.68,261.71,261.71,261.68,16225121,62000
65755,5750,2018/8/16 11:18,261.8,261.8,261.8,261.8,6602,1534389480,0,65755,2018/8/16 11:18,261.75,261.73,261.75,261.73,3664300,14000
65756,5751,2018/8/16 11:19,261.8,261.8,261.8,261.8,2506,1534389540,0,65756,2018/8/16 11:19,261.72,261.72,261.75,261.72,4711040,18000
