,,open,high,low,close,,time,,vpin,cdfvpin,diff,date,datechar,,
8,52329,274.13,274.13,274.11,274.13,4.24E+06,8,0,0.42398,0.67696,0,2018/11/8 10:35,2018/11/8 10:35,,
8,52338,274.13,274.13,273.96,274.01,4.01E+06,72,0,0.42058,0.65354,-0.12,2018/11/8 10:44,2018/11/8 10:44,,
8,52411,274.01,274.23,274.01,274.18,4.04E+06,34,0,0.4224,0.67163,0.17,2018/11/8 14:01,2018/11/8 14:01,,
8,52446,274.18,274.18,273.75,273.67,4.10E+06,32,0,0.44249,0.7669,-0.51,2018/11/8 14:36,2018/11/8 14:36,,
8,52479,273.76,273.73,273.65,273.71,4.09E+06,15,0,0.43144,0.71634,-0.05,2018/11/8 15:09,2018/11/8 15:09,,
8,52495,273.75,274.25,273.66,274.24,4.00E+06,74,0,0.45026,0.80309,0.49,2018/11/8 15:25,2018/11/8 15:25,,
8,52579,274.25,274.33,273.45,273.44,4.01E+06,35,0,0.47143,0.88026,-0.81,2018/11/8 21:13,2018/11/8 21:13,,
8,52615,273.51,274.14,273.55,274.08,4.00E+06,63,0,0.49118,0.9356,0.57,2018/11/8 21:49,2018/11/8 21:49,,
8,52679,274.1,274.2,273.91,274.02,3.99E+06,151,0,0.48326,0.91538,-0.08,2018/11/8 22:53,2018/11/8 22:53,,
9,52831,274.05,274.28,273.73,273.72,4.02E+06,95,0,0.49627,0.9537,-0.33,2018/11/9 1:52,2018/11/9 1:52,,
9,52928,273.72,273.8,273.71,273.73,4.46E+06,42,0,0.47844,0.90261,0.01,2018/11/9 10:07,2018/11/9 10:07,,
9,52971,273.73,273.84,273.74,273.71,4.05E+06,37,0,0.46405,0.85631,-0.02,2018/11/9 10:51,2018/11/9 10:51,,
9,53009,273.71,273.77,273.45,273.43,4.43E+06,60,0,0.47579,0.89143,-0.28,2018/11/9 13:32,2018/11/9 13:32,,
9,53070,273.45,273.58,273.37,273.34,4.04E+06,30,0,0.47139,0.87972,-0.11,2018/11/9 14:34,2018/11/9 14:34,,
9,53101,273.36,273.6,273.33,273.46,3.99E+06,48,0,0.46574,0.86056,0.1,2018/11/9 15:06,2018/11/9 15:06,,
9,53159,273.46,273.55,273.01,272.92,4.12E+06,47,0,0.48549,0.9223,-0.54,2018/11/9 20:29,2018/11/9 20:29,,
9,53207,273.01,272.82,272.6,272.5,4.07E+06,11,0,0.50394,0.9702,-0.51,2018/11/9 21:20,2018/11/9 21:20,,
9,53219,272.5,272.36,272.23,272.15,4.50E+06,19,0,0.5185,0.9867,-0.35,2018/11/9 21:32,2018/11/9 21:32,,
9,53239,272.2,272.27,272.03,272.18,4.06E+06,16,0,0.50268,0.96807,-0.02,2018/11/9 21:52,2018/11/9 21:52,,
9,53256,272.26,272.35,271.9,271.8,4.28E+06,17,0,0.52129,0.98882,-0.46,2018/11/9 22:09,2018/11/9 22:09,,
9,53274,271.8,272.16,271.91,271.96,4.00E+06,25,0,0.52127,0.98829,0.16,2018/11/9 22:27,2018/11/9 22:27,,
9,53300,271.95,272.35,271.91,272.31,4.10E+06,36,0,0.53532,0.99574,0.36,2018/11/9 22:53,2018/11/9 22:53,,
9,53337,272.31,272.45,271.85,271.83,4.23E+06,73,0,0.5533,0.9984,-0.48,2018/11/9 23:30,2018/11/9 23:30,,
10,53411,271.83,271.88,271.63,271.58,4.11E+06,102,0,0.5597,0.99947,-0.25,2018/11/10 0:45,2018/11/10 0:45,,
12,53515,271.56,271.87,271.45,271.84,3.99E+06,54,0,0.56772,1,0.28,2018/11/12 9:05,2018/11/12 9:05,,
12,53570,271.85,271.86,271.81,271.84,4.44E+06,17,0,0.54721,0.99787,-0.01,2018/11/12 10:01,2018/11/12 10:01,,
12,53588,271.85,271.84,271.8,271.79,4.49E+06,4,0,0.53296,0.99468,-0.06,2018/11/12 10:20,2018/11/12 10:20,,
12,53593,271.8,271.77,271.78,271.76,4.21E+06,2,0,0.51733,0.98563,-0.04,2018/11/12 10:25,2018/11/12 10:25,,
12,53596,271.77,271.98,271.58,271.6,3.99E+06,74,0,0.51607,0.9851,-0.17,2018/11/12 10:28,2018/11/12 10:28,,
12,53671,271.63,271.6,271.41,271.4,4.07E+06,22,0,0.52045,0.98776,-0.23,2018/11/12 13:48,2018/11/12 13:48,,
12,53694,271.42,271.44,271.28,271.3,4.04E+06,25,0,0.51453,0.98403,-0.12,2018/11/12 14:11,2018/11/12 14:11,,
12,53720,271.29,271.36,271.1,271.17,4.11E+06,25,0,0.50825,0.97605,-0.12,2018/11/12 14:37,2018/11/12 14:37,,
12,53746,271.25,271.38,271.21,271.22,4.03E+06,29,0,0.49252,0.94146,-0.03,2018/11/12 15:03,2018/11/12 15:03,,
12,53783,271.29,271.45,271.14,271.11,4.00E+06,67,0,0.4932,0.94465,-0.18,2018/11/12 20:02,2018/11/12 20:02,,
12,53851,271.11,271.14,270.9,270.97,4.02E+06,53,0,0.49038,0.93401,-0.14,2018/11/12 21:10,2018/11/12 21:10,,
12,53905,270.98,271.05,270.69,270.69,4.04E+06,108,0,0.50003,0.96221,-0.29,2018/11/12 22:04,2018/11/12 22:04,,
12,54014,270.76,271,270.66,270.86,4.03E+06,160,0,0.4929,0.94199,0.1,2018/11/12 23:55,2018/11/12 23:55,,
13,54176,270.86,270.93,270.81,270.82,4.11E+06,33,0,0.47865,0.90314,-0.04,2018/11/13 9:33,2018/11/13 9:33,,
13,54210,270.82,270.86,270.83,270.82,4.07E+06,10,0,0.45992,0.83981,0,2018/11/13 10:07,2018/11/13 10:07,,
13,54221,270.82,270.83,270.79,270.81,4.05E+06,13,0,0.44253,0.76743,-0.01,2018/11/13 10:18,2018/11/13 10:18,,
13,54235,270.81,270.88,270.8,270.77,4.30E+06,22,0,0.42801,0.69931,-0.04,2018/11/13 10:32,2018/11/13 10:32,,
13,54258,270.8,270.79,270.79,270.76,4.70E+06,5,0,0.41251,0.61362,-0.04,2018/11/13 10:59,2018/11/13 10:59,,
13,54264,270.76,270.81,270.56,270.62,3.99E+06,29,0,0.4098,0.5934,-0.14,2018/11/13 11:05,2018/11/13 11:05,,
13,54294,270.62,270.66,270.47,270.45,4.01E+06,23,0,0.41014,0.59872,-0.17,2018/11/13 13:35,2018/11/13 13:35,,
13,54318,270.45,270.41,270.18,270.35,4.06E+06,25,0,0.40358,0.55668,-0.1,2018/11/13 13:59,2018/11/13 13:59,,
13,54344,270.35,270.45,270.27,270.45,4.00E+06,49,0,0.39746,0.52049,0.1,2018/11/13 14:25,2018/11/13 14:25,,
13,54394,270.5,270.52,270.42,270.42,4.00E+06,13,0,0.38966,0.47366,-0.08,2018/11/13 15:15,2018/11/13 15:15,,
13,54408,270.45,270.43,269.53,269.93,4.05E+06,44,0,0.40947,0.59234,-0.52,2018/11/13 15:29,2018/11/13 15:29,,
13,54463,270,270.45,269.9,270.14,4.04E+06,86,0,0.40792,0.58542,0.14,2018/11/13 20:44,2018/11/13 20:44,,
13,54550,270.26,270.36,269.84,270.32,4.06E+06,101,0,0.3974,0.51996,0.06,2018/11/13 22:11,2018/11/13 22:11,,
13,54652,270.32,270.46,270.07,270.18,4.15E+06,132,0,0.39583,0.51197,-0.14,2018/11/13 23:55,2018/11/13 23:55,,
14,54786,270.2,270.37,269.96,270.34,4.10E+06,64,0,0.39393,0.49973,0.14,2018/11/14 9:02,2018/11/14 9:02,,
14,54851,270.35,270.38,270.25,270.26,4.48E+06,18,0,0.38616,0.45184,-0.09,2018/11/14 10:08,2018/11/14 10:08,,
14,54870,270.26,270.3,270.19,270.26,4.04E+06,48,0,0.36876,0.3571,0,2018/11/14 10:29,2018/11/14 10:29,,
14,54919,270.24,270.31,269.85,270,4.52E+06,60,0,0.37787,0.40447,-0.24,2018/11/14 11:19,2018/11/14 11:19,,
14,54980,270,270.09,270.01,270.07,4.08E+06,4,0,0.36885,0.35817,0.07,2018/11/14 14:22,2018/11/14 14:22,,
14,54985,270.09,270.13,270,270.04,4.16E+06,10,0,0.35792,0.2991,-0.05,2018/11/14 14:27,2018/11/14 14:27,,
14,54996,270.05,270.23,270.1,270.2,4.01E+06,13,0,0.35864,0.30282,0.15,2018/11/14 14:38,2018/11/14 14:38,,
14,55010,270.21,270.21,270.11,270.13,4.04E+06,18,0,0.35237,0.27142,-0.08,2018/11/14 14:52,2018/11/14 14:52,,
14,55029,270.14,270.15,269.89,269.88,5.13E+06,14,0,0.36622,0.34327,-0.26,2018/11/14 15:12,2018/11/14 15:12,,
14,55044,269.88,270.01,269.62,269.91,4.00E+06,64,0,0.35449,0.28419,0.03,2018/11/14 15:28,2018/11/14 15:28,,
14,55117,269.91,269.96,269.53,269.5,4.48E+06,54,0,0.37478,0.38052,-0.41,2018/11/14 21:05,2018/11/14 21:05,,
14,55172,269.5,269.8,269.53,269.53,4.02E+06,36,0,0.36229,0.32198,0.03,2018/11/14 22:00,2018/11/14 22:00,,
14,55209,269.53,270.08,269.53,270.03,3.99E+06,102,0,0.38237,0.43534,0.5,2018/11/14 22:37,2018/11/14 22:37,,
15,55312,270.02,271.2,270.01,270.92,4.04E+06,89,0,0.4044,0.5636,0.9,2018/11/15 0:28,2018/11/15 0:28,,
15,55402,270.95,271.36,270.9,271,3.99E+06,34,0,0.39373,0.49761,0.05,2018/11/15 2:06,2018/11/15 2:06,,
15,55439,271,271.07,270.92,271,4.02E+06,38,0,0.37783,0.40341,0,2018/11/15 9:11,2018/11/15 9:11,,
15,55478,271.03,271.39,270.98,271.3,4.61E+06,49,0,0.39088,0.47738,0.27,2018/11/15 9:50,2018/11/15 9:50,,
15,55528,271.35,271.36,271.34,271.35,4.24E+06,15,0,0.37509,0.38265,0,2018/11/15 10:45,2018/11/15 10:45,,
15,55544,271.35,271.35,271.26,271.26,3.99E+06,26,0,0.37033,0.36456,-0.09,2018/11/15 11:01,2018/11/15 11:01,,
15,55571,271.26,271.67,271.27,271.65,4.64E+06,47,0,0.39136,0.48057,0.39,2018/11/15 11:28,2018/11/15 11:28,,
15,55619,271.66,271.67,271.67,271.66,4.27E+06,3,0,0.37572,0.38744,0,2018/11/15 14:16,2018/11/15 14:16,,
15,55623,271.67,271.67,271.67,271.66,4.25E+06,2,0,0.36204,0.31985,-0.01,2018/11/15 14:20,2018/11/15 14:20,,
15,55626,271.67,271.68,271.67,271.66,4.07E+06,4,0,0.34964,0.26078,-0.01,2018/11/15 14:23,2018/11/15 14:23,,
15,55631,271.66,271.69,271.67,271.69,4.02E+06,5,0,0.34013,0.21341,0.03,2018/11/15 14:28,2018/11/15 14:28,,
15,55637,271.69,271.69,271.61,271.6,4.17E+06,21,0,0.33768,0.20383,-0.09,2018/11/15 14:34,2018/11/15 14:34,,
15,55659,271.65,271.76,271.62,271.65,4.06E+06,27,0,0.32486,0.15913,0,2018/11/15 14:57,2018/11/15 14:57,,
15,55687,271.65,271.65,271.18,271.15,4.65E+06,14,0,0.35143,0.26876,-0.5,2018/11/15 15:25,2018/11/15 15:25,,
15,55709,271.15,271.25,271.02,271.1,4.00E+06,66,0,0.34394,0.23363,-0.05,2018/11/15 20:10,2018/11/15 20:10,,
15,55776,271.1,271.85,271.05,271.8,4.00E+06,44,0,0.3682,0.35391,0.7,2018/11/15 21:19,2018/11/15 21:19,,
15,55821,271.85,272.16,271.9,271.84,4.04E+06,17,0,0.35603,0.29111,-0.01,2018/11/15 22:04,2018/11/15 22:04,,
15,55839,271.88,272.15,271.66,271.82,3.99E+06,116,0,0.34988,0.26184,-0.06,2018/11/15 22:22,2018/11/15 22:22,,
16,55956,271.83,272.12,271.67,272,4.28E+06,134,0,0.35555,0.28792,0.17,2018/11/16 0:29,2018/11/16 0:29,,
16,56092,272.13,272.2,272.12,272.18,4.00E+06,29,0,0.34809,0.25067,0.05,2018/11/16 9:26,2018/11/16 9:26,,
16,56122,272.2,272.24,272.08,272.16,4.19E+06,47,0,0.33934,0.20756,-0.04,2018/11/16 9:56,2018/11/16 9:56,,
16,56170,272.17,272.2,272.15,272.18,4.12E+06,21,0,0.32743,0.16817,0.01,2018/11/16 10:49,2018/11/16 10:49,,
16,56192,272.19,272.25,272.15,272.2,4.03E+06,45,0,0.31631,0.13624,0.01,2018/11/16 11:14,2018/11/16 11:14,,
16,56238,272.2,272.31,272.16,272.24,4.34E+06,26,0,0.30827,0.10538,0.04,2018/11/16 14:07,2018/11/16 14:07,,
16,56265,272.24,272.42,272.24,272.4,4.12E+06,22,0,0.31371,0.12507,0.16,2018/11/16 14:35,2018/11/16 14:35,,
16,56288,272.4,272.42,272.31,272.32,4.68E+06,30,0,0.30995,0.11176,-0.08,2018/11/16 14:59,2018/11/16 14:59,,
16,56319,272.34,272.75,272.34,272.75,4.03E+06,29,0,0.33072,0.17988,0.41,2018/11/16 15:30,2018/11/16 15:30,,
16,56359,272.76,272.83,272.57,272.75,4.48E+06,41,0,0.31754,0.1389,-0.01,2018/11/16 20:29,2018/11/16 20:29,,
16,56401,272.8,273.56,272.75,273.46,4.20E+06,33,0,0.34284,0.22725,0.66,2018/11/16 21:13,2018/11/16 21:13,,
16,56435,273.56,273.74,273.54,273.51,4.04E+06,30,0,0.33508,0.19425,-0.05,2018/11/16 21:47,2018/11/16 21:47,,
16,56466,273.57,273.7,273.32,273.3,4.14E+06,43,0,0.34855,0.25386,-0.27,2018/11/16 22:18,2018/11/16 22:18,,
16,56510,273.3,273.16,272.91,272.91,3.99E+06,58,0,0.36746,0.35232,-0.39,2018/11/16 23:02,2018/11/16 23:02,,
17,56569,272.91,273.4,272.91,273.35,4.11E+06,146,0,0.38824,0.46727,0.44,2018/11/17 0:03,2018/11/17 0:03,,
19,56717,273.36,273.72,273.4,273.72,4.16E+06,24,0,0.40577,0.56892,0.36,2018/11/19 9:23,2018/11/19 9:23,,
19,56742,273.7,273.76,273.58,273.71,4.01E+06,35,0,0.39265,0.48643,0.01,2018/11/19 9:48,2018/11/19 9:48,,
19,56778,273.75,273.88,273.8,273.88,4.27E+06,12,0,0.39296,0.49015,0.13,2018/11/19 10:24,2018/11/19 10:24,,
19,56791,273.88,273.86,273.47,273.19,4.10E+06,51,0,0.41667,0.63757,-0.69,2018/11/19 10:37,2018/11/19 10:37,,
19,56843,273.34,273.35,273.1,273.07,4.03E+06,31,0,0.42847,0.70303,-0.27,2018/11/19 13:31,2018/11/19 13:31,,
19,56875,273.08,273.17,273.05,273.15,4.60E+06,18,0,0.42047,0.65247,0.07,2018/11/19 14:03,2018/11/19 14:03,,
